,title,company,location,salary,summary
93,IT Security Data Scientist,"Nomura Holdings, Inc.",London,,"We are looking for someone keen to make an impact by using data to make more intelligent, data driven decisions.Strong data management skills including SQL."
94,Data Scientist,MS Amlin,London,,"This role will support and enhance the growing Hub, providing deep technical understanding of data science tools, techniques and technologies, and guiding…"
95,Senior Data Scientist,dotdigital,Croydon,,See how dotdigital can help you use your data to boost ROI and do more in less time. Watch a 3-minute…
96,Remote Data Scientist / Machine Learning Engineer - Time Ser...,GCS Recruitment Specialists Ltd,London,"£40,000 - £90,000 a year","Experience with working on large data sets and data preprocessing/wrangling.Strong organisational and self-starting skills, happy to work in a team and…"
97,Data Scientist - London,Echobox,London,,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
98,Data Scientist – (Brandwatch/Data modelling) – Remote,Salt Recruitment,Greater London,£400 - £600 a day,My exciting new client is looking for a Data scientist with strong data modelling skills and good experience using social media listening tools like Brandwatch.
99,"Senior Data Scientist (Digital), London / Remote",Sanderson Recruitment Plc,London,£550 - £650 a week,Strong experience working across digital channels on customer data.The role will be working directly with senior leadership team running your own projects from…
100,Data Scientist (All Levels),Harnham,London,"£55,000 - £110,000 a year",Work on a range of Machine Learning projects.Build and deploy Machine Learning models to solve commercial challenges.
101,Fixed Income Quant & Data Scientist,"Jefferies & Company, Inc.",London,,"Our ideal candidate is a combination of a financial engineer, quant, data scientist and machine learning engineer."
102,Data Scientist-Credit BOT Analytics,Barclays,London E14,,"You will be part of our Investment Banking business, working closely with our Markets revenue generating teams.Proven experience of e-trading development."
103,Group Head of Data Analytics,Kingfisher Plc,London W2,,"Collaborate with IT, product and data teams to develop the data technology and platforms that allow us to analyse high quality data."
104,Curious Data Scientists,Camden A.I.,London,,"Research and/or development experience in working with large data sets.Experience working with SQL and No-SQL databases, data visualization technologies and…"
105,"Snr Data Scientist (Social Media), Prime Video",Amazon Digital UK Limited,London,,"Able to understand various data structures and common methods in data transformation.Experience with SAS, ETL, data processing, database programming and data…"
106,Senior Data Scientist,Reach,London,,"Experience in data analysis with SQL and Python.Building end-to-end machine learning solutions, as well as driving key strategic insights (you will be a full…"
107,Data Scientist / ML Engineer,Novafutur,London,,Ability to analyse big data sets coming from heterogeneous producers both in real time and offline.Apply complex algorithms producing readable reports using BI…
108,Data Scientist - Applied Science,causaLens,London W12 8EJ,,"Working with a broad range of clients to help them integrate our technology into their workflow over the long term, solving technical and data science issues."
109,Quantum Machine Learning Internship,Cambridge Quantum Computing,London,,Cambridge Quantum Computing limited (CQC) is looking for an intern that will be embedded in its Machine Learning and Quantum Algorithm team.
110,Data Scientist (Outside IR35),Marcus Donald People,Canary Wharf,£500 - £600 a day,"This Data Scientist will have a love for ML and AI and be highly skilled with Python, PyTorch, AWS among other technologies."
111,"Senior Data Scientist, Marketing",Monzo,London,,"Apply your expertise in quantitative analysis, data mining, performance marketing, and data presentation to find ways we can spend our marketing budget more…"
112,"Senior Data Scientist, Product Analytics",Monzo,London,,We work in cross-functional squads where every data scientist is a member of a central data discipline and fully embedded into 1 product squad alongside…
113,Data Scientist,GoCardless,London,,"You have strong technical skills in data manipulation and extraction (strong SQL knowledge), data analysis and model prototyping and productionisation (Python,…"
114,Machine Learning Scientist - Data Science & AI,Asos.com,London,,"Experience accessing and combining data from multiple sources and building data pipelines, including a good knowledge of SQL."
115,"Senior Data Scientist, Financial Crime",Monzo,London,,"Integrate new data sources into our data warehouse.Work closely with financial crime analysts, data scientists and engineers to understand the underlying…"
116,Data Scientist,Harnham,London,"£75,000 - £80,000 a year",A keen interest in problem solving and using scalable machine learning to solve the biggest data-related problems.Experimenting with deep learning algorithms.
117,Junior NLP/Machine Learning Developer,ProWritingAid,London,,"You will implement, evaluate and maintain various Natural Language Processing algorithms.Build datasets for training and evaluation of NLP algorithms."
118,Data Scientist – (Business Consultancy / Analysis),Shift F5,London,,The company are a recently-formed collective of well-regarded Cyber Security thoughtleaders & AI specialists who are developing a unique cloud-based integrated…
119,Data Scientist,Consortia,London,£600 a day,Understand contributing data sources and implement robust transformation pipeline using DBT and Airflow.I am looking for a contract Data Scientist to lead the…
120,Data Science Degree Apprenticeship Programme 2021 – London,Amey plc,London,,"Contribute to delivering data insights through reports, real-time dashboards and intuitive data visualizations.Data Science Degree Apprenticeship Programme."
121,"Senior Data Scientist, On-Demand Convenience",Deliveroo,London,,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…
122,Lead Data Scientist,Zühlke,London,,You will work within our cross-functional teams to create business value based on the investment in data.You will manage the development of machine learning…
123,Data Scientist,New Signature,London,,Create pipelines for data cleaning and transformation based on data insights.Get insights from data providing automated descriptive statistics reports.
