,title,company,location,salary,summary
297,Senior Data Scientist,Lawrence Harvey,London,"£65,000 - £80,000 a year","Working knowledge of a range of AI techniques (deep learning, graph data analytics, NLP, Machine Learning).Delivering client solutions through a range of Data…"
298,Head of Data Science,Mott MacDonald,London,,Create data pipelines for more efficient and repeatable data science projects.Train peers on specialist data science topics.Pension matched up to 7%.
299,Senior Data & Analytics Manager,RELX Group,London,,"Knowledge of data warehouse, ETL processes and data modelling.Delivering strategic and tactical planning, with a hands-on delivery focus, the Senior Data…"
300,Senior Data Scientist,Harnham,London,"£50,000 - £90,000 a year",You will identify opportunities to utilise data science to make improvements to the business.You will use advanced analytics and modelling techniques looking…
301,Data Scientist (Contract),Harnham,London,£450 - £550 a day,For this contract we are looking for individuals that come from a strong Mathematics/ Statistics background and have worked in either Research or Data…
302,Machine Learning Engineer Internship,G-Research,London,,Knowledge of algorithm and data structure fundamentals.Experience and coursework in machine learning and data science.
303,Remote Data Scientist / Machine Learning Engineer - Time Ser...,GCS Recruitment Specialists Ltd,London,"£40,000 - £90,000 a year","Experience with working on large data sets and data preprocessing/wrangling.Strong organisational and self-starting skills, happy to work in a team and…"
304,Graph Data Science Product Manager - London,Neo4j,London,,Conduct market research into competing graph data science libraries and other data science platforms to understand differentiating features and potential…
305,"Data Science Director, Community Integrity",Facebook,London,,"Inspire, lead and grow 25+ data scientists across multiple teams.The data science team partners as fellow product leads with product managers, software…"
306,Computer Vision Deep Learning Engineer,Humanising Autonomy,London WC2R,,"Working closely with other vision engineers, embedded engineers, data scientists, and behavioural scientists to understand how behavioural insights can be…"
307,Senior Applied Scientist - Information Retrieval and Natural...,Evi Technologies Limited,London,,"Ph.D. in Machine Learning, Natural Language Processing, Information Retrieval or a related discipline.Strong publication record at top academic conferences…"
308,Senior Data Scientist - Marketing / Growth,Cuvva,London,"£80,000 a year","Own the build out of Cuvva’s marketing data analysis stack including data pipeline, tagging and attribution modelling.A day off to volunteer."
309,Data Science Contractor (£600-£700 per day),MBN Recruitment Solutions,London,£600 - £700 a month,"You will work on a range of areas including pricing, supply chain, online, computer vision/security among others from PoC through to production and deployment."
310,ARTIFICIAL INTELLIGENCE SPECIALIST,DataSpartan Consulting,London EC2V 7RS,,Work closely with data scientists to solve difficult engineering and machine learning problems and produce high-quality code.
311,Data Scientist,Metrica Recruitment,London,"£70,000 - £80,000 a year",Strong data analysis skills with ability to drill down into complex dataset.They help young people learn how to manage money responsibly under the guidance of…
312,Data Science Engineer - London,Echobox,London,,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
313,Senior Data Science Analyst,Revionics,London,,"Awareness of data load and ETL / Automation tools (Informatica, etc.).Collaborate with other members of the data science teams to help improve existing…"
314,"PhD Student, London (AI)",Facebook,London,,Devise data-driven models of human behaviour.Perform research that improves computational understanding and representing of data.
315,Data Scientist,H&R Talent,London,"£55,000 - £65,000 a year",Building tools to automate data collection.Experience with common data science toolkits.Knowledge in developing software and data models.
316,Data Scientist - Inside IR35,Harnham,London,£550 a day,Proven experience applying data scientist techniques to customer behaviour.You should have experience working on complex data sets and exposure to tools such…
317,"Assistant Manager/Manager, M&A Analytics, Transaction Servic...",Deloitte,London,,"Manipulate large data sets to provide compelling, value add outputs.Ability to ETL client data to facilitate analysis / visualization."
318,Senior Manager - Data and Analytics,KPMG,London,,"Developing and delivering data strategy, data operating model, data governance or data maturity programmes for public sector clients."
319,Senior Data Scientist,dotdigital,Croydon CR0 6SD,,Expertise in building data visualisations to explain data stories.Proven experience as a Senior Data Scientist and in leading and mentoring other data…
320,Quant Analytics Lead,Shell,London,,"Demonstrate strong technology and coding skills coupled with knowledge of data science (eg Python, SQL).Build research frameworks and quant libraries, model…"
321,"Product Owner, Endeavor Analytics",Endeavor,London,,"Good overall understanding of data products including science, analytics, reporting, dashboarding, Big Data and data warehousing."
322,Software Engineer - Machine Learning,Yelp,London,,"Experience with data ETL and data analysis packages and workflows (SQL, MapReduce, Spark, etc.).Lead the development of machine learned models for offline,…"
323,Machine Learning Product Owner - Data Science & AI,Asos.com,London,,"Collaborate with machine learning scientists, engineers and architects to translate business problems into machine learning problems."
324,Data Scientist (Python and R) - Contract - West London,Lorien,West London,£600 - £650 a day,Provide help on monitoring ongoing data quality and model performance.Proven extensive experience developing and implementing Machine Learning algorithms on…
325,Data Scientist,Opus Recruitment Solutions,London,"£50,000 - £85,000 a year","The Data team is relatively new, and where you will have responsibility and autonomy in your role around delivering projects into production."
326,Data Scientist - R& Python,Metrica Recruitment,West London,"£35,000 - £40,000 a year","As a data scientist, you will be responsible for utilising the most cutting edge data techniques to deliver bespoke solutions to both internal stakeholders and…"
327,Data Scientist - Python PhD Computer Vision,Client Server,London,"£65,000 - £80,000 a year","The organisation's powerful core product is an open, SaaS API platform that transforms the quality of data captured to simplify workflows and drive actions."
328,Python Backend Engineer - Machine Learning,"JPMorgan Chase Bank, N.A.",London,,"Practical experience with statistical data analysis and experimental design.You will participate in the research lifecycle beginning with problem discovery,…"
329,International Analytics Manager,Marks & Spencer,Paddington,,Provide insight into our business and customers through the interrogation of data and actively encourage the use data to “answer” business questions.
330,Data Scientist - Gaming/ Betting,Harnham,London,"£50,000 - £80,000 a year",Extensive previous commercial experience as a data scientist/ machine learning engineer.Utilising large amounts of digital betting data to maximise revenue.
331,Data Scientist - Python Programmer,Michael Page UK,London,£300 - £400 a day,Exposure to working alongside with data scientists and machine learning projects.A track record of working with sensitive or personally identifiable data and…
332,Data Scientist - Clinical Supply Chain,GSK,Ware SG12 0DP,,Manage automated data extractions and intermediate transformation platforms.>3 years experience with data transformation tools.
333,Data and Analytics developer,Austin Fraser,London,"£60,000 - £70,000 a year","Excellent Knowledge of data & analytics.Strong understanding of data science, machine learning, AI, and predictive/statistical modelling."
334,Faculty for Business Analytics,EF Education First,London WC1N 2AT,,It provides students with the skills to conduct analyses with large sets of data to inform business decisions.
335,"Data Scientist (Contractor) - Python, R, SQL",Harnham,London,£450 - £550 a day,"As a contractor you would be helping the client build analytics tool, working on machine learning and optimisation models and liaising directly on the company's…"
336,Data Scientist - ML Labs,AWS EMEA SARL (UK Branch),London,,"Strong communication and data presentation skills.We’re looking for top ML data scientists capable of using ML and other techniques to design, evangelize, and…"
337,Principal Data Scientist,Harnham,London,"£110,000 - £120,000 a year",Working as part of a team of 8 (x4 data scientists / x4 machine learning engineers).Data and analytics drives decisions within all aspects of their…
338,Lead Data Scientist,Harnham,London,"£60,000 - £75,000 a year",You will use your specialist knowledge in Machine Learning and Python/R to build innovative solutions and have the chance to learn and progress in new areas.
339,Senior Data Scientist,Consortia,London,"£80,000 - £90,000 a year","The role will be to build sophisticated machine learning models around audience modelling, behaviour analysis and optimisation models to name a few."
340,Machine Learning Engineer - London,Echobox,London,,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
341,Engineering – Eqs Prime Services Strats – Client Analytics –...,Goldman Sachs,London EC4A 2BE,,You will use data-driven insights from usage patterns and user feedback to develop ideas into intuitive and efficient real-time workflow tools.
342,Senior Data Scientist - Challenger Stockbroker,Michael Page UK,London,"£60,000 - £75,000 a year",Advance the overall quality of their data understanding whilst improving data standards across the business.Strong technical skills in data related tech (i.e.…
